Dept,Number,Title,A,B,C,D,F,I,NR,S,U,W,Instructor
CS,478,Development of Mobile Apps,33,26,19,10,4,1,0,0,0,2,Buy
CS,480,Database Systems,23,19,16,6,1,0,0,0,0,1,Sistla
CS,489,Human Augmentics,10,7,4,2,1,0,0,0,0,0,Kenyon
CS,491,Network Security,6,15,0,0,1,0,0,0,0,4,Venkatesan Natarajan
CS,491,Seminar,0,50,0,0,0,0,0,0,0,0,Kenyon
CS,491,Special Topics,13,0,0,0,1,0,0,0,0,2,Esmailbeigi
CS,499,Prof. Development Seminar,0,0,0,0,0,3,0,89,0,0,Hummel
CS,506,Intro to Quantum Computing,21,0,0,0,0,0,0,0,0,2,DasGupta
CS,511,Artificial Intelligence II,18,0,0,0,0,0,0,0,0,0,Gmytrasiewicz
CS,514,App Artificial Intelligence,31,6,0,0,0,0,1,0,0,0,Gmytrasiewicz
CS,540,Adv Topics in Softwr Engr,9,7,0,0,0,1,0,0,0,0,Grechanik
CS,545,Formal Meth/Concur&Dist Systms,0,0,0,0,0,0,18,0,0,0,Thomas
CS,553,Distributed Systems,9,8,3,0,0,0,0,0,0,0,Kshemkalyani
CS,569,High-Performance Process&Systm,0,0,0,0,0,0,18,0,0,0,Thomas
CS,581,Database Management Systms,21,8,0,0,0,0,0,0,0,0,Wolfson
CS,583,Data Mining & Text Mining,49,43,6,1,0,0,0,0,0,1,Liu
CS,583,Data Mining & Text Mining,0,0,0,0,0,0,18,0,0,0,Thomas
CS,590,Research Methods in CS,0,0,0,0,0,0,0,23,0,0,Di Eugenio
CS,594,Advanced Machine Learning,23,9,0,0,0,0,0,0,0,0,Zhang
CS,594,AI: Methods and Applications,26,0,0,0,0,0,0,0,0,0,Petrov
CS,594,Geometric Algorithms,14,0,0,0,0,0,0,0,0,1,Sidiropoulos
CS,598,MS Thesis Research,0,0,0,0,0,1,0,0,0,0,Kenyon
CS,599,PhD Thesis Research,0,0,0,0,0,0,0,19,0,0,Yu
ECE,115,Intro to Elec & Cmptr Eng,65,21,16,9,10,0,0,0,0,8,Caliskan
ECE,210,Electric Circuit Analysis,69,42,9,4,3,0,0,0,0,3,Fitzgerald
ECE,225,Circuit Analysis,48,20,12,4,10,0,0,0,0,0,Caliskan
ECE,265,Intro to Logic Design,55,23,4,2,4,0,0,0,0,2,Fitzgerald
ECE,266,Intro to Embedded Systems,28,40,22,4,0,0,0,0,0,6,Zhang
ECE,310,Discrete &Cont Signal&Systms,15,18,25,13,3,0,0,0,0,5,Goncharoff
ECE,311,Communication Engineering,30,7,2,1,0,0,0,0,0,0,Smida
ECE,317,DSP I,17,24,15,2,1,0,0,0,0,0,Cetin
ECE,322,Intro to Electromag and Appl,12,13,5,5,1,0,0,0,0,0,Revelo Alonso
ECE,340,Electronics I,26,15,28,6,0,0,0,0,0,1,Metlushko
ECE,341,Probabil &Rand Proc for Engr,66,24,6,4,0,0,0,0,0,0,Jin
ECE,342,Electronics II,24,13,23,0,0,0,0,0,0,0,Metlushko
ECE,346,Solid State Device Theory,19,13,15,1,0,0,0,0,0,6,Feinerman
ECE,350,Principles of Auto Control,7,23,14,1,0,0,0,0,0,1,Jin
ECE,366,Computer Organization,8,10,4,3,0,0,0,0,0,1,Zhang
ECE,396,Senior Design I,35,3,0,0,0,0,0,0,0,0,Revelo Alonso
ECE,397,Senior Design II,12,0,0,0,0,0,0,0,0,0,Abu Salah
ECE,397,Senior Design II,11,0,0,0,1,0,0,0,0,0,Cetin
ECE,397,Senior Design II,13,0,0,0,0,0,0,0,0,0,Metlushko
ECE,397,Senior Design II,10,4,0,0,0,0,0,0,0,0,Rao
ECE,407,Pattern Recognition I,50,15,11,5,1,0,0,0,0,0,Cetin
ECE,412,Intro to Filter Synthesis,14,41,7,0,1,0,0,0,0,1,Vaccaro
ECE,418,Statist Digit Signa Proc,27,21,8,1,0,0,0,0,0,0,Jin
ECE,436,Computer Comm Networks II,20,11,3,0,0,1,0,0,0,2,Seferoglu
ECE,437,Wireless Communications,11,15,8,0,0,0,0,0,0,3,Tuninetti
ECE,442,Power Devices & ICs,9,1,1,0,0,0,0,0,0,0,Yang
ECE,448,Transistors,6,6,11,1,0,0,0,0,0,1,Shi
ECE,449,Micromachining & Sensors,4,4,1,0,0,0,0,0,0,1,Paprotny
ECE,452,Robotics: Algorithm/Control,21,27,9,1,0,0,0,0,0,1,Zefran
ECE,465,Digital Systems Design,4,3,5,8,0,0,0,0,0,5,Dutt
ECE,466,Adv Computer Architecture,18,17,6,0,0,0,0,0,0,0,Zhu
ECE,469,Hardware and Datapath Design,19,13,4,0,0,0,0,0,0,0,Rao
ECE,491,Fundamentals of Power Systems,2,6,6,0,1,0,0,0,0,3,He
ECE,491,Intro to Electromag & Appl,13,8,11,10,0,0,0,0,0,2,Revelo Alonso
ECE,491,Mechatronic Systems Design,9,8,0,0,0,0,0,0,0,0,Paprotny
ECE,493,Special Problems,16,0,0,0,0,0,0,0,0,0,Abu Salah
ECE,497,Undergrad Sen Design Thesis II,50,1,0,0,0,0,0,0,0,0,Goncharoff
ECE,499,Prof. Development Seminar,0,0,0,0,0,0,0,78,0,0,Devroye
ECE,515,Imag Analysis & Com Vis II,27,8,0,0,0,0,0,0,0,0,Valbonesi
ECE,517,Digital Image Processing,33,14,1,1,1,0,0,0,0,0,Schonfeld
ECE,530,Random Signal Analysis,9,1,1,0,0,0,0,0,0,0,Schonfeld
ECE,531,Detectn & Estimatn Theory,6,5,2,0,0,0,0,0,0,0,Soltanalian
ECE,541,Microelectron Fabricatn Tech,3,4,3,0,0,0,0,0,0,0,Feinerman
ECE,550,Linear Systems,12,13,9,0,0,0,0,0,0,0,Han
ECE,567,Advanced VLSI Design,13,10,0,0,0,0,0,0,0,0,Trivedi
ECE,569,High-Performance Process&Systm,18,9,1,0,0,0,0,0,0,0,Zhu
ECE,594,Cyber-Physical Sys.: Safety,17,0,0,0,0,0,0,0,0,0,Zefran
ECE,595,Departmental Seminar,0,0,0,0,0,0,0,39,1,0,Rao
ENER,420,CHP Design & Management,0,0,0,0,0,0,16,0,0,0,Haefke
ENER,422,Building HVAC,22,2,0,0,0,0,0,0,0,0,Ryan
ENER,451,Electric Power Generation,21,6,0,0,0,0,0,0,0,1,Ryan
ENER,552,Design of Efficient Buildings,16,4,0,0,0,0,0,0,0,0,Ryan
ENER,594,Current Topics in Energy Engr,7,5,0,0,0,1,0,0,0,0,Ryan
ENGR,100,Engineering Orientation,0,0,0,0,0,0,0,372,0,4,Narubin
ENGR,111,Pract Additive Manufacturing,0,0,0,0,0,0,0,54,0,0,#VALUE!
ENGR,289,Cooperative Engr Practice,0,0,0,0,0,0,0,41,0,0,Kaplan
ENGR,494,Entrepreneurship in Engr II,3,5,2,0,0,0,0,0,0,2,Gaitonde
IE,201,Financial Engineering,47,63,13,8,9,0,0,0,0,4,Darabi
IE,342,Probability & Stat for Engr,64,41,30,7,5,0,0,0,0,5,Williams
IE,345,Regr Analysis & Forecast,4,5,8,8,0,1,0,0,0,2,He
IE,380,Manufacturing Process Princ,3,6,7,4,0,2,0,0,0,1,Abiade
IE,397,Senior Design Il,15,0,0,0,0,0,0,0,0,0,Brown
IE,442,Design &Analysis of Experiment,13,6,10,0,0,0,0,0,0,0,Li
IE,445,IPD Product Development 2,4,6,0,0,0,0,0,0,0,0,Scott
IE,446,Quality Control & Reliability,43,25,11,11,1,0,0,0,0,0,Li
IE,463,Plant Layout & Mater Handling,23,11,3,0,1,0,0,0,0,0,Williams
IE,466,Product Plan &Inventory Contrl,27,10,2,0,0,0,0,0,0,0,Williams
IE,472,Operations Research II,29,44,12,2,1,0,0,0,0,0,Banerjee
IE,499,Prof Development Seminar,0,0,0,0,0,0,0,26,0,0,Darabi
IE,594,ADV 3D Printing/Additive Manua,4,5,1,0,0,0,0,0,0,0,Pan
IE,594,Data Science II,37,0,0,0,0,0,0,0,0,0,Sharabiani
IE,594,Distributed Decision Making,19,20,8,1,0,0,0,0,0,2,Hu
IE,595,Industrial Engineering Seminar,0,0,0,0,0,0,0,135,5,1,Scott
IT,202,Web & Multimedia Technology,9,9,4,0,3,0,0,0,0,4,Hayes
ME,205,Intro to Thermodynamics,46,39,48,8,13,0,0,0,0,3,Minkowycz
ME,210,Engineering Dynamics,13,20,20,9,5,2,0,0,0,9,Berniker
ME,211,Fluid Mechanics l,15,18,18,4,3,1,0,0,0,1,Megaridis
ME,211,Fluid Mechanics l,7,24,6,2,0,2,0,0,0,8,Yarin
ME,250,Intro to Engineering Design,67,5,5,0,0,0,0,0,0,0,Siow
ME,250,Intro to Engineering Design,60,13,3,1,2,0,0,0,0,1,Szwalek
ME,261,Materials for Manufacturing,10,8,11,4,0,0,0,0,0,0,Wang
ME,308,Mechanical Vibrations,33,29,3,1,0,0,0,0,0,0,Lilley
ME,308,Mechanical Vibrations,34,19,4,1,0,1,0,0,0,0,Siow
ME,312,Dynamic Syst & Control,12,18,24,14,7,0,1,0,0,3,Berniker
ME,320,Mechanisms&Dynamics/Machinery,22,25,15,4,1,0,0,0,0,3,Brown
ME,321,Heat Transfer,25,40,24,6,7,0,0,0,0,1,Manafzadeh
ME,325,Intermediate Thermodynamics,5,7,7,1,4,0,0,0,0,3,Lynch
ME,325,Intermediate Thermodynamics,18,12,17,2,0,0,0,0,0,0,Manafzadeh
ME,341,Exp Methods in Mech Engr,14,15,6,2,0,0,0,0,0,1,Szwalek
ME,341,Exp Methods in Mech Engr,16,13,13,3,0,0,0,0,0,0,Xu
ME,347,Computer-Aided Design,42,39,15,7,0,0,0,0,0,2,Hatami Marbini
